Title,Year,Runtime_minutes,Genres,Rating,Votes,IMDB_Link
DuckTales,(1987–1990),23.0,"Animation, Action, Adventure            ",8.1,"31,361",https://www.imdb.com/title/tt0092345/
North and South,(1985),561.0,"Drama, History, Romance            ",8.1,"10,506",https://www.imdb.com/title/tt0088583/
Shogun,(1980),547.0,"Adventure, Drama, History            ",8.1,"12,366",https://www.imdb.com/title/tt0080274/
Unorthodox,(2020),53.0,Drama            ,8.0,"72,929",https://www.imdb.com/title/tt9815454/
WandaVision,(2021),350.0,"Action, Comedy, Drama            ",8.0,"268,560",https://www.imdb.com/title/tt9140560/
Solar Opposites,(2020– ),22.0,"Animation, Comedy, Sci-Fi            ",8.0,"18,254",https://www.imdb.com/title/tt8910922/
The Act,(2019),60.0,"Biography, Crime, Drama            ",8.0,"24,530",https://www.imdb.com/title/tt8682948/
Modern Love,(2019– ),32.0,"Comedy, Romance            ",8.0,"30,524",https://www.imdb.com/title/tt8543390/
PEN15,(2019–2021),30.0,Comedy            ,8.0,"10,247",https://www.imdb.com/title/tt8324422/
Dead to Me,(2019–2022),30.0,"Comedy, Crime, Drama            ",8.0,"70,378",https://www.imdb.com/title/tt8064302/
Upload,(2020– ),30.0,"Comedy, Mystery, Sci-Fi            ",8.0,"52,063",https://www.imdb.com/title/tt7826376/
New Amsterdam,(2018– ),43.0,Drama            ,8.0,"34,453",https://www.imdb.com/title/tt7817340/
Ramy,(2019– ),30.0,"Comedy, Drama, Romance            ",8.0,"12,667",https://www.imdb.com/title/tt7649694/
Kidding,(2018–2020),30.0,"Comedy, Drama            ",8.0,"17,879",https://www.imdb.com/title/tt7375404/
Escape at Dannemora,(2018),440.0,"Biography, Crime, Drama            ",8.0,"22,332",https://www.imdb.com/title/tt6866266/
The Looming Tower,(2018),492.0,"Drama, History            ",8.0,"14,025",https://www.imdb.com/title/tt6474236/
Inside Edge,(2017– ),45.0,"Drama, Sport            ",8.0,"11,279",https://www.imdb.com/title/tt6112414/
GLOW,(2017–2019),35.0,"Comedy, Drama, Sport            ",8.0,"44,376",https://www.imdb.com/title/tt5770786/
The Orville,(2017– ),44.0,"Adventure, Comedy, Drama            ",8.0,"67,455",https://www.imdb.com/title/tt5691552/
The Exorcist,(2016–2018),45.0,"Drama, Horror, Mystery            ",8.0,"27,728",https://www.imdb.com/title/tt5368542/
Insecure,(2016–2021),30.0,"Comedy, Romance            ",8.0,"17,433",https://www.imdb.com/title/tt5024912/
Life in Pieces,(2015–2019),22.0,Comedy            ,8.0,"14,620",https://www.imdb.com/title/tt4384086/
F Is for Family,(2015–2021),30.0,"Animation, Comedy, Drama            ",8.0,"35,289",https://www.imdb.com/title/tt4326894/
River,(2015),60.0,"Crime, Drama, Mystery            ",8.0,"22,827",https://www.imdb.com/title/tt4258440/
Humans,(2015–2018),42.0,"Drama, Sci-Fi            ",8.0,"38,942",https://www.imdb.com/title/tt4122068/
Lovesick,(2014–2018),24.0,Comedy            ,8.0,"19,000",https://www.imdb.com/title/tt4051832/
